creator_name,userid,comment
"Doug The Pug", 87,"I shared this to my friends and mom the were lol"
"Doug The Pug", 87,"Super cute  😀🐕🐶"
"bulletproof", 530,"stop saying get em youre literally dumb . have some common sense or dont own this kind of dog. fucking retarded I swear"
"Meu Zoológico", 670,"Tenho uma jiboia e um largato"
"ojatro", 1031,"I wanna see what happened to the pigs after that  please"
"Tingle Triggers", 1212,"Well shit now Im hungry"
"Hope For Paws - Official Rescue Channel", 1806,"when I saw the end it said to adopt  I saw different animal sites I was mad that they separated the cute little pups after being  together for a long time"
"Hope For Paws - Official Rescue Channel", 2036,"Holy crap. That is quite literally the most adorable pup Ive ever seen."
"Life Story", 2637,"武器はクエストで貰えるんじゃないんですか？"
"Brian Barczyk", 2698,"Call the teddy Larry"
"The Dodo", 2702,"😐🤔😓😢😭😭😭😭😟"
"Hope For Paws - Official Rescue Channel", 2911,"That mother cat looks like my own Im guessing she is a russian blue due to her looks and unusual coping skills."
"Hope For Paws - Official Rescue Channel", 2911,"Its people like Hope For Paws who truly make the world a better place <3"
"Talking Kitty Cat", 2911,"steve: No wet food for a month!:cats immediately stop fighting:"
"Brave Wilderness", 3224,"Dont call this a challenge because there will be idiots who actually try this"
"MaxluvsMya", 3267,"why are you always awake so late lol"
"Rise Up Society Fan Page", 3372,"Deb Tucker"
"The Dodo", 3466,"Thats a deer isnt it?"
"Brave Wilderness", 3466,"there is no safe way to hold a crab. Somehow they will always manage to nip you!"
"Brave Wilderness", 3466,"Red before yellow will kill a fellow...Some of you will get this ;)"
"Brian Barczyk", 3589,"Im 7 and I love your videosAnd love your snakes"
"Info Marvel", 4504,"Falto deadpool en el trairler"
"Gohan The Husky", 4533,"2:35 Why do you leave the TV on if you are not at home?......"
"Brave Wilderness", 4900,"No its because of me. JK :D Congrats"
"Vet Ranch", 5005,"can he hear ?"
"Taylor Nicole Dean", 5697,"amazing family you have"
"Vet Ranch", 5960,"29 likes and 3 views??"
"TOMMYfromtheBRONX", 6835,"Good on ya Tommy boy!!"
"GoHerping", 7841,"Can I call you meme daddy"
"GoHerping", 7841,"your becoming a meme channel I love it"
"Brave Wilderness", 8786,"WOW I got dooped"
"Kitsune Kreations", 8857,"I will not put lyrics and I’m glad that heather is bi  ^^Would backup be possible?"
"Angel Hawk", 8857,"Is Vural a Serval or a hyena? I’m just curious"
"Kitsune Kreations", 8857,"Part 36 Graystripe X Firestar and if you call it a crack ship I will make you listen to my singing"
"The Dodo", 8935,"😱😻"
"ViralHog", 9312,"So pure ❤️❤️❤️❤️"
"Abbey Normal", 9312,"did the animal come to you and ask to be sacrificed? No. The animal didnt give itself to you."
"Nathan Coffee", 9431,"Its so cute!!"
